English Question,Tamil Question,Tamil Answer
What is the epithet for அண்ணாமலை ரெட்டியார்?,அண்ணாமலை ரெட்டியாரின் அடைமொழி என்ன?,அண்ணாமலை கவிராஜன்
What is the epithet for திரு.வி.க. ?,திரு.வி.க.வின் அடைமொழி என்ன?,தமிழ் உரைநடையின் தந்தை
What is the epithet for வைரமுத்து?,வைரமுத்துவின் அடைமொழி என்ன?,கவிப்பேரரசு
What is the epithet for வா.செ.குழந்தைசாமி?,வா.செ.குழந்தைசாமின் அடைமொழி என்ன?,குலோத்துங்கன்
What is the epithet for அப்துல் ரகுமான்?,அப்துல் ரகுமான் அடைமொழி என்ன?,விக்கோ
What is the significance of these epithets?,இந்த இலக்கியப் படைப்புகளுக்கு வழங்கப்பட்ட அடைமொழிகள் என்னென்ன?,பட்டியலிடப்பட்டுள்ள ஒவ்வொரு இலக்கியப் படைப்பின் அடைமொழிகளையும் குறிப்பிடவும்.
What is the significance of this epithet for பத்துப்பாட்டு?,பத்துப்பாட்டின் அடைமொழி என்ன?,இயற்கை ஓவியம்
What is the significance of this epithet for கலித்தொகை?,கலித்தொகையின் அடைமொழி என்ன?,இயற்கை இன்பக்கலம்
What is the significance of this epithet for திருக்குறள்?,திருக்குறளின் அடைமொழி என்ன?,இயற்கை வாழ்வில்லம்
What is the significance of this shared epithet for சிலப்பதிகாரம் and மணிமேகலை?,சிலப்பதிகாரம் மற்றும் மணிமேகலையின் அடைமொழி என்ன?,இயற்கை இன்ப வாழ்வு நிலையங்கள்
What is the significance of this epithet for சீவகசிந்தாமணி?,சீவகசிந்தாமணியின் அடைமொழி என்ன?,இயற்கை தவம்
What is the significance of this epithet for கம்பராமாயணம்?,கம்பராமாயணத்தின் அடைமொழி என்ன?,இயற்கை பரிணாமம்
What is the significance of this epithet for பெரிய புராணம்?,பெரிய புராணத்தின் அடைமொழி என்ன?,இயற்கை அன்பு
"What is the significance of this shared epithet for தேவாரம், திருவாசகம், and திருவாய்மொழிகள்?","தேவாரம், திருவாசகம், திருவாய்மொழிகளின் அடைமொழி என்ன?",இயற்கை இறையருள்
What is the significance of this epithet for கலித்தொகை?,கலித்தொகையின் அடைமொழி என்ன?,"கற்றறிந்தோர் ஏத்தும் தொகை, நூற்றைம்பது கலி"
What is the significance of this epithet for புறநானூறு?,புறநானூற்றின் அடைமொழி என்ன?,தமிழ்க் கருவூலம்
What is the significance of this epithet for பட்டினப்பாலை?,பட்டினப்பாலையின் அடைமொழி என்ன?,வஞ்சி நெடும்பாட்டு
What is the significance of this epithet for பரிபாடல்?,பரிபாடலின் அடைமொழி என்ன?,பரிப்பாட்டு
What is the significance of this epithet for மலைபடுகடாம்?,மலைபடுகடாமின் அடைமொழி என்ன?,கூத்தராற்றுப்படை
What is the significance of this epithet for திருமுருகாற்றுப்படை?,திருமுருகாற்றுப்படையின் அடைமொழி என்ன?,"முருகு, புலவராற்றுப்படை"
What is the epithet given to திருமந்திரம்?,திருமந்திரத்திற்கு வழங்கப்பட்ட அடைமொழி என்ன?,தமிழ் மூவாயிரம்
What is the epithet given to கருணாமிர்த சாகரம்?,கருணாமிர்த சாகரத்திற்கு வழங்கப்பட்ட அடைமொழி என்ன?,இசைப் பேரிலக்கணம்
What is the epithet given to மூதுரை?,மூதுரைக்கு வழங்கப்பட்ட அடைமொழி என்ன?,வாக்குண்டாம்
What is the epithet given to வெற்றி வேற்கை?,வெற்றி வேற்கைக்கு வழங்கப்பட்ட அடைமொழி என்ன?,நறுந்தொகை
What is the epithet given to நேமிநாதம்?,நேமிநாதத்திற்கு வழங்கப்பட்ட அடைமொழி என்ன?,சின்னூல்
What is the epithet given to ஏலாதி?,ஏலாதிக்கு வழங்கப்பட்ட அடைமொழி என்ன?,குட்டித் திருக்குறள்
What are the epithets given to திருக்கயிலாய ஞான உலா?,திருக்கயிலாய ஞான உலாவுக்கு வழங்கப்பட்ட அடைமொழிகள் என்னென்ன?,"ஆதியுலா, ஞான உலா"
What are the epithets given to பழமொழி?,பழமொழிக்கு வழங்கப்பட்ட அடைமொழிகள் என்னென்ன?,"மூதுரை, முதுமொழி, உலக வசனம், பழமொழி நானூறு"
What is the epithet given to பன்னிரு பாட்டியல்?,பன்னிரு பாட்டியலுக்கு வழங்கப்பட்ட அடைமொழி என்ன?,வெண்பாப் பாட்டியல்
What is the epithet given to சிவஞான போதம் பேருரை?,சிவஞான போதம் பேருரைக்கு வழங்கப்பட்ட அடைமொழி என்ன?,சிவஞான மாபாடியம்
What is the epithet given to இலக்கண விளக்கம்?,இலக்கண விளக்கத்திற்கு வழங்கப்பட்ட அடைமொழி என்ன?,குட்டித் தொல்காப்பியம்
What is the epithet given to திருக்கருவைப் பதிற்றுப் பத்தந்தாதி?,திருக்கருவைப் பதிற்றுப் பத்தந்தாதிக்கு வழங்கப்பட்ட அடைமொழி என்ன?,குட்டித் திருவாசகம்
What is the epithet given to பெருங்கதை?,பெருங்கதைக்கு வழங்கப்பட்ட அடைமொழி என்ன?,கொங்கு வேளிர் மாக்கதை
What is the epithet given to கம்பராமாயணம்?,கம்பராமாயணத்திற்கு வழங்கப்பட்ட அடைமொழி என்ன?,வழிநூல்
What are the epithets given to சிலப்பதிகாரம்?,சிலப்பதிகாரத்திற்கு வழங்கப்பட்ட அடைமொழிகள் என்னென்ன?,"தமிழின் முதல் காப்பியம், முதல் நூல், முத்தமிழ்க் காப்பியம், வரலாற்றுக் காப்பியம், சமுதாயக் காப்பியம், தமிழரின்தேசியக் காப்பியம், குடிமக்கள் காப்பியம், நாடகக் காப்பியம், வழிநூல் என்னும் நூல் வகையுள் முதல் நூல்"
What is the epithet given to மணிமேகலை?,மணிமேகலைக்கு வழங்கப்பட்ட அடைமொழி என்ன?,மணிமேகலைத் துறவு
What is the epithet given to சீவகசிந்தாமணி?,சீவகசிந்தாமணிக்கு வழங்கப்பட்ட அடைமொழி என்ன?,மண நூல்
What are the epithets given to நீலகேசி?,நீலகேசிக்கு வழங்கப்பட்ட அடைமொழிகள் என்னென்ன?,"நீலம், நீலகேசித் தெருட்டு"
What is the epithet given to கலிங்கத்துப்பரணி?,கலிங்கத்துப்பரணிக்கு வழங்கப்பட்ட அடைமொழி என்ன?,தென்தமிழ் தெய்வப்பரணி
What is the epithet given to திருக்கோவையார்?,திருக்கோவையாருக்கு வழங்கப்பட்ட அடைமொழி என்ன?,இராசாக் கோவை
What are the epithets given to குறவஞ்சி?,குறவஞ்சிக்கு வழங்கப்பட்ட அடைமொழிகள் என்னென்ன?,"குறம், குறவஞ்சி நாடகம், குறவஞ்சி நாட்டியம்"
What is the epithet given to உலா?,உலாவுக்கு வழங்கப்பட்ட அடைமொழி என்ன?,உலாப்புறம்
What is the epithet given to தாயுமானவர் பாடல்கள்?,தாயுமானவர் பாடல்களுக்கு வழங்கப்பட்ட அடைமொழி என்ன?,தமிழ்மொழியின் உபநிடதம்
"What is the concept of ""பிரித்தெழுதுக"" in Tamil?","""பிரித்தெழுதுக"" என்ற கருத்து தமிழில் என்ன?","""பிரித்தெழுதுக"" என்பது ஒரு சொல்லை அதை உருவாக்கும் தனித்தனி எழுத்துகளாக பிரிக்கும் செயல்முறையைக் குறிக்கிறது. இது தமிழ் மொழி கற்றல் மற்றும் TNPSC போன்ற போட்டித் தேர்வுகளுக்கு முக்கியமானது."
"How is ""பிரித்தெழுதுக"" applied in practice?","""பிரித்தெழுதுக"" எவ்வாறு நடைமுறையில் பயன்படுத்தப்படுகிறது?","""பிரித்தெழுதுக"" பின்வரும் சூழ்நிலைகளில் பயன்படுத்தப்படலாம்:"
* Distinguishing words with similar sounds: சில சமயங்களில் ஒரே மாதிரி ஒலிக்கும் ஆனால் வேறுபட்ட பொருள் கொண்ட சொற்களை வேறுபடுத்திக் காட்ட.,"* Differentiating between homophones: To distinguish between homophones, words that sound the same but have different meanings.",
What are the four main types of verbs in Tamil grammar?,தமிழ் இலக்கணத்தில் நான்கு முக்கிய வினை வகைகள் என்னென்ன?,"தமிழ் இலக்கணத்தில் வினை வகைகள் நான்கு: வினைமுற்று, வினையெச்சம், வினையாலணையும் பெயர், மற்றும் தொழிற்பெயர்."
"1. வினைமுற்று (Finite Verb)
* Example: படித்தான் (He studied)",1. வினைமுற்று,"வினைமுற்று என்பது ஒரு செயலைக் குறிக்கிறது. இது ஒரு காலத்தையும் ஒரு எண்ணையும் குறிக்கிறது. * வினைமுற்று என்பது 'த்', 'ஆன்', 'அன்' போன்ற விகுதிகளுடன் முடியும்.
* எடுத்துக்காட்டு: படித்தான்"
2. வினையெச்சம் (Verbal Participle),2. வினையெச்சம்,"வினையெச்சம் என்பது ஒரு செயலைக் குறிக்கும் ஆனால் ஒரு காலத்தையும் எண்ணையும் குறிக்காது. இது ஒரு வினைச்சொல்லை மற்றொரு வினைச்சொல்லுடன் இணைக்கிறது.
* எடுத்துக்காட்டு: படித்து வந்தான்
* வினையெச்சம் 'உ', 'து', 'ஆ', 'வது' போன்ற விகுதிகளுடன் முடியும்."
3. வினையாலணையும் பெயர் (Verbal Noun),3. வினையாலணையும் பெயர்,"வினையாலணையும் பெயர் என்பது ஒரு வினைச்சொல்லைப் போலவே செயல்பாட்டைக் குறிக்கும், ஆனால் அது ஒரு பெயர்ச்சொல்லாக செயல்படுகிறது.
* வினையாலணையும் பெயர் 'வர்', 'வோர்', 'வோர்', 'வோர்' போன்ற விகுதிகளுடன் முடியும்.
* எடுத்துக்காட்டு: படித்தோர்"
4. தொழிற்பெயர் (Noun of Action),4. தொழிற்பெயர்,"தொழிற்பெயர் என்பது ஒரு செயலைப் பெயராக மாற்றுகிறது.
* தொழிற்பெயர் 'பு', 'அல்', 'அம்', 'ஐ', 'சி' போன்ற விகுதிகளுடன் முடியும்.
* எடுத்துக்காட்டு: படிப்பு"
